Tissue,SIDM,cell_line_name
Breast,SIDM00954,COLO-824
Bone,SIDM00205,EW-1
Bone,SIDM00198,EW-16
Lymphoid,SIDM01034,KOPN-8
Esophagus,SIDM00550,KYSE-50
Head_neck,SIDM00182,LB771-HNC
Lung,SIDM00339,LXF-289
Lung,SIDM00754,NCI-H1781
Esophagus,SIDM00445,OACP4C
Kidney,SIDM00239,OS-RC-2
Ovary,SIDM00092,OVCAR-4
Ovary,SIDM00425,OVTOKO
Prostate,SIDM00088,PC-3
Prostate,SIDM01114,PWR-1E
Lymphoid,SIDM00087,RPMI-8226
Bladder,SIDM00676,HT-1197
Breast,SIDM00885,HCC1187
Bladder,SIDM00983,647-V
Liver,SIDM01237,C3A
Pancreas,SIDM00950,DAN-G
Bone,SIDM00197,EW-18
PNS,SIDM00227,GI-ME-N
Endometrium,SIDM00596,HEC-1
Breast,SIDM01037,JIMT-1
Lymphoid,SIDM00785,KG-1
Lymphoid,SIDM01019,KMOE-2
Esophagus,SIDM01028,KYSE-410
Lung,SIDM00341,LOU-NH91
Cervix,SIDM00638,MS751
Lung,SIDM00654,NCI-H1048
Lung,SIDM00138,NCI-H23
Stomach,SIDM01146,SNU-1
Stomach,SIDM00570,NUGC-4
Bladder,SIDM01190,TCCSUP
Ovary,SIDM01170,TOV-112D
Lung,SIDM00522,DMS-273
Lung,SIDM00755,NCI-H1793
Lymphoid,SIDM00458,OCI-M1
Esophagus,SIDM00478,OE21
Lymphoid,SIDM00364,P30-OHK
Lymphoid,SIDM00362,P32-ISH
Kidney,SIDM00235,RCC10RGB
Lymphoid,SIDM01086,RS4-11
Cervix,SIDM01093,SIHA
PNS,SIDM01100,SK-N-DZ
Lymphoid,SIDM00423,SU-DHL-8
Pancreas,SIDM00371,SUIT-2
Cervix,SIDM01174,SW756
Breast,SIDM00097,T47D
Lymphoid,SIDM00323,TK
Thyroid,SIDM00418,TT2609-C02
CNS,SIDM01193,U-118-MG
Lung,SIDM01183,UMC-11
Skin,SIDM00974,WM35
Skin,SIDM00857,G-361
Breast,SIDM00866,HCC1143
Pancreas,SIDM00531,HUP-T4
Lymphoid,SIDM00434,MOLP-8
Lung,SIDM00653,NCI-H1092
Lung,SIDM00699,NCI-H2141
Lung,SIDM01127,NCI-H596
PNS,SIDM00577,NH-12
Bone,SIDM00242,NOS-1
Bone,SIDM00427,RH-1
Lung,SIDM01103,SK-MES-1
Lymphoid,SIDM00389,SU-DHL-10
Bone,SIDM00419,TC-71
Lymphoid,SIDM00854,GA-10
Bladder,SIDM01033,KU-19-19
Lymphoid,SIDM00331,MHH-CALL-2
Lymphoid,SIDM00433,MOLT-13
Lymphoid,SIDM01018,KM-H2
CNS,SIDM00492,AM-38
Lymphoid,SIDM00829,HL-60
Bladder,SIDM00999,639-V
Skin,SIDM00797,A2058
Endometrium,SIDM00901,AN3-CA
Head_neck,SIDM00942,CAL-33
Lung,SIDM00921,CALU-6
Pancreas,SIDM00130,CFPAC-1
Skin,SIDM00909,COLO-829
Lung,SIDM00047,EMC-BAC-2
Lung,SIDM01044,EPLC-272H
Lung,SIDM00104,NCI-H2369
Lung,SIDM01072,HCC-15
Lymphoid,SIDM01013,JVM-2
Esophagus,SIDM01025,KYSE-520
Lymphoid,SIDM00327,L-428
Lung,SIDM00344,LCLC-97TM1
Skin,SIDM00003,M14
Skin,SIDM00336,MEL-JUSO
Lung,SIDM00750,NCI-H1568
Esophagus,SIDM00444,OACM5-1
Ovary,SIDM00480,OAW-42
Thyroid,SIDM00987,BHT-101
Lymphoid,SIDM00962,BV-173
Lung,SIDM00509,COR-L311
Biliary_tract,SIDM00276,ETK-1
Soft_tissue,SIDM00853,GCT
Thyroid,SIDM00496,HTC-C3
Liver,SIDM00616,JHH-4
Pancreas,SIDM00582,KP-2
Stomach,SIDM00572,NUGC-3
Ovary,SIDM00105,OVCAR-3
Pancreas,SIDM00453,PA-TU-8988T
Stomach,SIDM00393,SK-GT-2
Soft_tissue,SIDM00798,A204
Lymphoid,SIDM01017,KARPAS-231
Lymphoid,SIDM01265,MM1S
Lung,SIDM00763,NCI-H1915
Lung,SIDM00117,NCI-H322M
Lung,SIDM00965,NCI-H446
Ovary,SIDM00481,OAW-28
Head_neck,SIDM00565,OSC-20
Pancreas,SIDM00042,PL4
Stomach,SIDM00358,RERF-GC-1B
Endometrium,SIDM01088,RL95-2
Skin,SIDM01087,RPMI-7951
Lymphoid,SIDM00384,SCC-3
CNS,SIDM00379,SK-MG-1
Liver,SIDM01181,SNU-398
Esophagus,SIDM00369,TE-1
Kidney,SIDM00849,A704
Head_neck,SIDM00588,HSC-4
Lung,SIDM00745,NCI-H1650
Lung,SIDM00729,NCI-H2228
Ovary,SIDM00967,OVCA420
Lymphoid,SIDM00448,RC-K8
Lung,SIDM00356,RERF-LC-KJ
Lung,SIDM00354,RERF-LC-SQ1
Lung,SIDM00368,SBC-5
Head_neck,SIDM01083,SCC-15
Head_neck,SIDM00399,SCC90
CNS,SIDM00085,SF268
Bone,SIDM01111,SK-ES-1
Head_neck,SIDM00375,SKN-3
Lymphoid,SIDM01176,SUP-B15
Lymphoid,SIDM00422,SUP-HD1
Esophagus,SIDM00250,TE-4
Esophagus,SIDM00328,TE-6
Ovary,SIDM01169,TOV-21G
Lymphoid,SIDM01058,GRANTA-519
Pancreas,SIDM00455,PA-TU-8902
Esophagus,SIDM00479,OE19
Ovary,SIDM00090,OVCAR-8
CNS,SIDM00111,U251
CNS,SIDM00947,DK-MG
